id,name,host_name,neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365,latitude,longitude,area_type
1,City Stay - Paharganj,Priya Sharma,Paharganj,Hotel room,2100,1,92,1.33,277,28.641315,77.209849,Dense/Chawl-type Area
2,Comfortable Home in Lajpat Nagar,Vikas Singh,Lajpat Nagar,Entire home/apt,1950,1,64,0.3,134,28.576494,77.241945,Market Area
3,Premium Stay - South Extension,Priya Agarwal,South Extension,Private room,2250,2,35,0.25,177,28.562471,77.218729,Market Area
4,Budget Stay around Old Delhi,Neha Bansal,Old Delhi,Entire home/apt,1850,2,43,2.52,318,28.660631,77.233028,Dense/Chawl-type Area
5,Modern Stay near Greater Kailash,Rohit Sharma,Greater Kailash,Entire home/apt,4000,1,24,0.29,305,28.542217,77.238807,Developed Residential
6,Premium Stay - Noida Sector 18,Pooja Singh,Noida Sector 18,Entire home/apt,3350,3,62,0.36,145,28.572788,77.331853,Market Area
7,Premium Stay - Connaught Place,Simran Sharma,Connaught Place,Entire home/apt,3750,3,9,0.41,300,28.637338,77.221474,Market Area
8,Premium Stay - Janakpuri,Pooja Saini,Janakpuri,Private room,2650,1,13,0.09,304,28.620582,77.089943,Developed Residential
9,Private Room near Karol Bagh,Manish Singh,Karol Bagh,Private room,1450,5,20,0.88,236,28.659631,77.191753,Market Area
10,Cozy Noida Sector 137 Studio,Aditya Kumar,Noida Sector 137,Entire home/apt,2200,1,23,0.01,237,28.511944,77.400186,Developed Residential
11,Budget Stay around Ghaziabad Indirapuram,Ankit Saini,Ghaziabad Indirapuram,Entire home/apt,2950,1,37,0.04,202,28.641614,77.368404,Developed Residential
12,Comfortable Home in Old Delhi,Riya Kumar,Old Delhi,Entire home/apt,2050,1,25,0.58,204,28.663057,77.236512,Dense/Chawl-type Area
13,Bright Apartment in Vasant Kunj,Pooja Yadav,Vasant Kunj,Private room,2750,2,7,0.16,151,28.53474,77.163242,Developed Residential
14,Budget Stay around Hauz Khas,Priya Verma,Hauz Khas,Private room,2750,1,9,0.71,189,28.5447,77.198168,Green & Peaceful
15,Bright Apartment in Ghaziabad Indirapuram,Priya Chauhan,Ghaziabad Indirapuram,Private room,1600,3,9,0.07,222,28.63236,77.378144,Developed Residential
16,Cozy Connaught Place Studio,Simran Kumar,Connaught Place,Private room,3150,1,76,0.53,285,28.633258,77.212414,Market Area
17,Modern Stay near Hauz Khas,Shreya Kapoor,Hauz Khas,Entire home/apt,4000,2,46,0.16,279,28.55402,77.20771,Green & Peaceful
18,Premium Stay - Noida Sector 62,Nisha Verma,Noida Sector 62,Private room,1500,1,36,0.86,182,28.627078,77.373621,Corporate/Developed Area
19,Family Home in Janakpuri,Karan Mishra,Janakpuri,Private room,1700,1,14,0.15,250,28.621155,77.092242,Developed Residential
20,Peaceful Retreat near Ghaziabad Vaishali,Sanjay Bansal,Ghaziabad Vaishali,Hotel room,1900,1,57,0.17,156,28.650039,77.341312,Market Area
21,Peaceful Retreat near Janakpuri,Neha Sharma,Janakpuri,Entire home/apt,2450,4,10,0.98,305,28.627331,77.084177,Developed Residential
22,Peaceful Retreat near Noida Sector 18,Karan Verma,Noida Sector 18,Private room,2000,2,61,1.15,298,28.568908,77.330554,Market Area
23,City Stay - Paharganj,Priya Malhotra,Paharganj,Entire home/apt,2000,2,34,0.75,51,28.639441,77.210991,Dense/Chawl-type Area
24,Bright Apartment in Dwarka,Shreya Agarwal,Dwarka,Private room,1900,1,8,2.08,365,28.579949,77.047119,Developed Residential
25,Bright Apartment in Noida Sector 18,Ankit Chauhan,Noida Sector 18,Entire home/apt,2700,1,29,0.65,287,28.568795,77.324093,Market Area
26,City Stay - Aerocity,Pooja Agarwal,Aerocity,Private room,3350,1,79,0.59,361,28.545584,77.081095,Developed Residential
27,Comfortable Home in Paharganj,Neha Bansal,Paharganj,Private room,1500,2,57,0.16,360,28.636219,77.21036,Dense/Chawl-type Area
28,Peaceful Retreat near Paharganj,Megha Saini,Paharganj,Private room,1400,2,44,0.87,185,28.645165,77.216883,Dense/Chawl-type Area
29,Budget Stay around Janakpuri,Ankit Mehta,Janakpuri,Entire home/apt,2500,2,3,0.55,145,28.62721,77.085013,Developed Residential
30,Premium Stay - Hauz Khas,Arjun Jain,Hauz Khas,Private room,2250,3,23,0.59,260,28.544426,77.196739,Green & Peaceful
31,Bright Apartment in Gurgaon Sector 47,Vikas Agarwal,Gurgaon Sector 47,Private room,2300,1,35,0.68,185,28.437817,77.041363,Developed Residential
32,Cozy Gurgaon Sector 47 Studio,Rohit Singh,Gurgaon Sector 47,Entire home/apt,3600,4,63,0.35,286,28.430445,77.043219,Developed Residential
33,City Stay - Ghaziabad Vaishali,Riya Malhotra,Ghaziabad Vaishali,Private room,1300,1,126,1.03,280,28.644805,77.338947,Market Area
34,Family Home in Janakpuri,Neha Singh,Janakpuri,Entire home/apt,2300,1,58,0.71,333,28.62337,77.084758,Developed Residential
35,Private Room near Greater Kailash,Riya Singh,Greater Kailash,Private room,2450,1,38,0.09,71,28.545015,77.246161,Developed Residential
36,Private Room near Greater Kailash,Nisha Jain,Greater Kailash,Private room,1900,5,94,0.33,204,28.550936,77.233037,Developed Residential
37,Comfortable Home in Gurgaon Sector 47,Rahul Kumar,Gurgaon Sector 47,Private room,2250,1,44,0.53,206,28.431342,77.044326,Developed Residential
38,Premium Stay - Dwarka,Vikas Saini,Dwarka,Private room,1600,2,111,0.4,297,28.587062,77.042404,Developed Residential
39,Family Home in Rajendra Place,Megha Kumar,Rajendra Place,Entire home/apt,2500,7,36,0.58,365,28.645428,77.183823,Developed Residential
40,Family Home in Lajpat Nagar,Manish Jain,Lajpat Nagar,Shared room,1350,1,89,0.41,178,28.557421,77.251423,Market Area
41,Peaceful Retreat near Ghaziabad Vaishali,Nisha Chauhan,Ghaziabad Vaishali,Private room,1450,1,77,0.44,209,28.647122,77.329405,Market Area
42,Private Room near Saket,Rahul Kapoor,Saket,Hotel room,2500,2,48,0.19,176,28.533707,77.207294,Developed Residential
43,Cozy Dwarka Studio,Neha Yadav,Dwarka,Private room,2400,4,105,0.73,335,28.589498,77.043946,Developed Residential
44,Comfortable Home in Hauz Khas,Priya Gupta,Hauz Khas,Entire home/apt,2900,1,88,0.52,5,28.559172,77.191819,Green & Peaceful
45,Modern Stay near Noida Sector 75,Manish Bansal,Noida Sector 75,Hotel room,1600,2,30,0.03,196,28.567263,77.388548,Developed Residential
46,Family Home in Saket,Nisha Malhotra,Saket,Entire home/apt,3000,1,47,1.74,174,28.521218,77.201843,Developed Residential
47,City Stay - Lajpat Nagar,Shreya Kapoor,Lajpat Nagar,Entire home/apt,2900,1,11,1.66,208,28.570788,77.250528,Market Area
48,Cozy Greater Kailash Studio,Megha Mishra,Greater Kailash,Private room,3000,3,18,0.26,88,28.539909,77.246201,Developed Residential
49,Premium Stay - Rajendra Place,Priya Agarwal,Rajendra Place,Private room,2000,2,41,0.39,114,28.637137,77.172573,Developed Residential
50,Bright Apartment in Paharganj,Arjun Yadav,Paharganj,Entire home/apt,1850,1,17,0.52,291,28.644752,77.22188,Dense/Chawl-type Area
51,Budget Stay around Greater Kailash,Priya Kumar,Greater Kailash,Private room,3350,1,48,0.18,73,28.537517,77.243648,Developed Residential
52,Cozy Faridabad Sector 15 Studio,Ankit Mehta,Faridabad Sector 15,Private room,1150,1,26,0.31,165,28.409191,77.312814,Developed Residential
53,Comfortable Home in Karol Bagh,Arjun Kapoor,Karol Bagh,Hotel room,2150,7,13,0.26,276,28.65457,77.191945,Market Area
54,Modern Stay near Janakpuri,Deepak Jain,Janakpuri,Private room,1800,1,15,0.55,5,28.623458,77.082374,Developed Residential
55,Premium Stay - Chattarpur,Karan Mishra,Chattarpur,Private room,1800,2,9,0.19,168,28.502388,77.179562,Green & Peaceful
56,Comfortable Home in Mahipalpur,Simran Singh,Mahipalpur,Private room,1150,1,150,0.5,213,28.54932,77.128066,Dense/Chawl-type Area
57,Comfortable Home in Janakpuri,Sanjay Yadav,Janakpuri,Private room,1650,1,22,0.6,165,28.608651,77.089965,Developed Residential
58,Premium Stay - Noida Sector 75,Megha Yadav,Noida Sector 75,Entire home/apt,2350,1,80,0.96,124,28.569962,77.387685,Developed Residential
59,Bright Apartment in Paharganj,Amit Bansal,Paharganj,Private room,1450,1,57,0.08,313,28.647856,77.220484,Dense/Chawl-type Area
60,Modern Stay near Dwarka,Varun Sharma,Dwarka,Shared room,1000,1,44,1.28,243,28.598325,77.04294,Developed Residential
61,City Stay - Defence Colony,Sanjay Jain,Defence Colony,Private room,2650,3,12,0.79,117,28.580915,77.237152,Green & Peaceful
62,Peaceful Retreat near Dwarka,Vikas Sharma,Dwarka,Entire home/apt,2250,5,20,0.18,5,28.59378,77.039247,Developed Residential
63,Modern Stay near Dwarka,Aditya Verma,Dwarka,Private room,1750,3,55,0.2,249,28.584051,77.057321,Developed Residential
64,Modern Stay near Gurgaon Golf Course Road,Varun Mishra,Gurgaon Golf Course Road,Hotel room,4000,1,57,2.24,254,28.458552,77.097439,Developed Residential
65,Comfortable Home in Noida Sector 18,Megha Yadav,Noida Sector 18,Entire home/apt,2600,2,5,0.11,81,28.561783,77.324436,Market Area
66,Private Room near Rajendra Place,Rahul Agarwal,Rajendra Place,Entire home/apt,2800,1,8,0.98,29,28.640387,77.171361,Developed Residential
67,City Stay - Greater Kailash,Megha Gupta,Greater Kailash,Hotel room,4000,1,33,0.52,191,28.56442,77.231357,Developed Residential
68,Family Home in Greater Kailash,Deepak Mishra,Greater Kailash,Private room,3300,2,0,0.0,93,28.550222,77.239739,Developed Residential
69,Premium Stay - Ghaziabad Vaishali,Manish Singh,Ghaziabad Vaishali,Entire home/apt,2200,1,10,1.47,293,28.656629,77.34333,Market Area
70,City Stay - Hauz Khas,Pooja Saini,Hauz Khas,Entire home/apt,3200,3,47,0.15,282,28.543758,77.201508,Green & Peaceful
71,Bright Apartment in Paharganj,Nisha Agarwal,Paharganj,Private room,1450,1,50,0.33,235,28.637293,77.218544,Dense/Chawl-type Area
72,Premium Stay - Noida Sector 18,Shreya Jain,Noida Sector 18,Entire home/apt,3000,1,81,0.05,323,28.557781,77.315479,Market Area
73,Peaceful Retreat near Ghaziabad Vaishali,Shreya Verma,Ghaziabad Vaishali,Private room,1350,1,31,0.99,170,28.648658,77.340847,Market Area
74,Bright Apartment in Uttam Nagar,Vikas Verma,Uttam Nagar,Entire home/apt,1250,1,8,0.48,50,28.627311,77.077033,Dense/Chawl-type Area
75,Premium Stay - Noida Sector 62,Amit Bansal,Noida Sector 62,Entire home/apt,3000,1,39,0.92,30,28.619323,77.361151,Corporate/Developed Area
76,Peaceful Retreat near Lajpat Nagar,Vikas Bansal,Lajpat Nagar,Private room,1900,1,7,0.69,332,28.562397,77.246744,Market Area
77,Cozy Old Delhi Studio,Amit Verma,Old Delhi,Private room,950,7,14,0.76,150,28.656932,77.247361,Dense/Chawl-type Area
78,Cozy Connaught Place Studio,Vikas Verma,Connaught Place,Private room,2850,1,37,0.32,56,28.629098,77.219698,Market Area
79,Premium Stay - Mahipalpur,Riya Verma,Mahipalpur,Entire home/apt,2250,2,16,0.35,197,28.552524,77.130066,Dense/Chawl-type Area
80,Private Room near Noida Sector 75,Vikas Kumar,Noida Sector 75,Private room,1250,3,80,0.97,59,28.567653,77.393911,Developed Residential
